  117  NGC6624     na           275.919  -30.361    7.9    54.26  0.45    0.099   -6.904  0.065  0.064   0.002    2.0    162  NGC6624   V18               
  118  NGC6626     M28          276.137  -24.870    5.5    11.11  0.60   -0.301   -8.913  0.061  0.061  -0.003    3.7    383  NGC6626   V18               
  119  NGC6638     na           277.734  -25.497    9.4     8.63  2.00   -2.550   -4.075  0.066  0.065   0.013    1.9    103  NGC6638   V18               
  120  NGC6637     M69          277.846  -32.348    8.8    46.63  1.45   -5.113   -5.813  0.063  0.063   0.011    2.5    283  NGC6637   V18               
  121  NGC6642     na           277.975  -23.475    8.1   -33.23  1.13   -0.189   -3.898  0.065  0.065   0.004    1.8     93  NGC6642   V18               
  122  NGC6652     na           278.940  -32.991   10.0   -99.04  0.51   -5.506   -4.204  0.064  0.063   0.001    2.4    225  NGC6652   V18               
  123  NGC6656     M22          279.100  -23.905    3.2  -147.76  0.30    9.833   -5.557  0.047  0.047   0.008   11.8   4178  NGC6656   V18               
  124  PAL8        na           280.375  -19.826   12.8   -41.14  1.81   -2.031   -5.634  0.063  0.063   0.015    2.4    174  PAL8      V18               
  125  NGC6681     M70          280.803  -32.292    9.0   216.62  0.84    1.458   -4.688  0.060  0.060   0.009    4.0    686  NGC6681   V18               
  126  NGC6712     na           283.268  -08.706    6.9  -107.45  0.29    3.341   -4.384  0.062  0.061   0.006    2.8    309  NGC6712   V18               
  127  NGC6715     M54          283.764  -30.480   26.5   143.06  0.56   -2.711   -1.355  0.058  0.058   0.009    7.9    854  NGC6715   V18               
  128  NGC6717     PAL9         283.775  -22.701    7.1    32.45  1.44   -3.106   -4.951  0.065  0.064   0.022    2.0     97  NGC6717   V18               
  129  NGC6723     na           284.888  -36.632    8.7   -94.18  0.26    1.033   -2.445  0.057  0.057   0.004    5.2   1824  NGC6723   V18               
  130  NGC6749     na           286.314  +01.901    7.9   -58.44  0.96   -2.865   -5.987  0.061  0.061   0.011    4.3    395  NGC6749   V18               
  131  NGC6752     na           287.717  -59.985    4.0   -26.28  0.16   -3.170   -4.043  0.042  0.042   0.004   12.3  10850  NGC6752   V18               
  132  NGC6760     na           287.800  +01.030    7.4    -0.42  1.63   -1.129   -3.561  0.060  0.059   0.009    4.2    572  NGC6760   V18               
  133  NGC6779     M56          289.148  +30.183    9.4  -136.97  0.45   -2.020    1.644  0.059  0.059   0.004    4.5    811  NGC6779   V18               
  134  TERZAN7     na           289.433  -34.658   22.8   159.45  0.14   -2.999   -1.586  0.068  0.067   0.032    1.5     93  TERZAN7   V18               
  135  PAL10       na           289.509  +18.572    5.9   -31.70  0.23   -4.250   -6.924  0.064  0.064   0.005    2.2    246  PAL10     V18               
  136  ARP2        na           292.184  -30.356   28.6   123.01  0.33   -2.381   -1.510  0.067  0.066   0.013    1.9    137  Arp2      V18               
