#  id W_lime e_W_lime g_lime e_g_lime rt_lime e_rt_lime M_lime e_M_lime W_pe e_W_pe eta_pe e_eta_pe log1minB_pe e_log1minB_pe rt_pe e_rt_pe M_pe e_M_pe log_fpe e_log_fpe chi2_king chi2red_king chi2_wil chi2red_wil chi2_lime chi2red_lime chi2_pe chi2red_pe kingtrunc kinghalf wiltrunc wilhalf limehalf e_limehalf pehalf e_pehalf pecore e_pecore  r_tie BGlev min_mass max_mass
    NGC6293    7.522    0.116    0.149    0.051   12.282    0.531     1248.549       32.984    9.807    0.151    0.227    0.052   -0.253    0.202   11.670    0.422     1296.448       25.503   -2.467    0.387  923.708    3.174 1306.068    4.488  679.962    2.345  361.088    1.249   21.190    2.340   90.081    2.321    2.462    0.075    2.567    0.056    0.316    0.012     2.200    6.529    0.710    0.773
    NGC6341    7.004    0.207    1.832    0.101   92.336   13.393     9090.843      391.435    6.980    0.159    0.212    0.010   -1.846    0.144   43.997    3.557     9035.333      334.757   -1.981    0.073  325.797    8.805  331.910    8.971   58.501    1.625   37.588    1.074   30.903    3.319   58.884    2.754    3.173    0.121    3.232    0.123    0.731    0.066     6.000    0.016    0.676    0.785
    NGC6325    7.544    0.284    0.743    0.367   18.943    5.978      131.019        8.197    8.366    0.324    0.269    0.055   -0.188    0.156    8.428    0.331      105.248        1.545   -2.187    0.382 3933.638   49.170 4163.614   52.045 3910.101   49.495 3976.664   50.983   23.339    2.512  103.259    2.410    2.566    0.266    1.942    0.030    0.465    0.022     2.000    0.073    0.772    0.791
    NGC6333    4.761    0.174    2.132    0.109   38.572    4.487    30037.290      338.909    4.888    0.093    0.101    0.051   -3.375    0.831   29.720    3.221    29780.458      341.391   -4.124    0.805 1075.928    4.170  662.437    2.568  290.118    1.129  294.486    1.150   19.953    2.935   48.978    2.897    2.627    0.023    2.632    0.026    1.313    0.028     7.024   11.562    0.686    0.776
    NGC6352    8.162    0.127    0.157    0.065   25.618    1.754     2100.000       89.546   10.759    0.423    0.172    0.051   -0.217    0.248   21.736    1.351     2074.322       76.219   -2.915    0.533  491.013    1.874  590.844    2.255  437.524    1.676  411.690    1.583   50.248    5.279  748.360    7.320    5.212    0.314    5.036    0.213    0.465    0.027     2.000    9.233    0.666    0.896
    NGC6366    2.160    0.964    2.643    0.264   53.775   13.883     4247.341       77.763    3.733    0.281    0.258    0.152   -4.859    1.538   34.824    2.861     4221.758       77.322   -5.449    1.808 1651.454    9.024 1835.669   10.031  239.761    1.317  257.068    1.420   15.849    4.001   24.547    4.055    4.074    0.070    4.068    0.070    2.716    0.164     4.247    1.380    0.654    0.896
    NGC6362    4.459    0.395    2.001    0.204   63.643    8.190     6480.841      183.995    4.448    0.136    0.181    0.109   -3.086    1.662   61.212    5.340     6444.024      160.657   -4.452    1.736  226.573    4.046  191.556    3.421  158.838    2.888  272.449    5.045   34.674    6.047   74.131    6.065    5.909    0.086    5.893    0.072    3.299    0.117     4.773    0.057    0.689    0.824
    NGC6388    7.031    0.127    1.584    0.138   33.764    6.581     2077.871       40.589    7.355    0.255    0.287    0.046   -0.995    0.340   14.137    3.074     2007.387       35.504   -1.740    0.332 1938.650    5.102 1773.583    4.667  555.681    1.466  459.182    1.215   19.498    2.073   81.283    1.862    1.942    0.033    1.956    0.045    0.449    0.032     2.000    0.392    0.792    0.851
    NGC6402    3.606    0.240    2.632    0.091  110.451   17.125     4980.842       45.761    4.230    0.142    0.311    0.011   -2.094    0.175   36.454    3.720     4882.758       47.809   -1.931    0.128  416.831    1.550  318.254    1.183  269.895    1.007  300.314    1.125   23.988    4.679   42.658    4.593    4.731    0.045    4.702    0.049    2.687    0.055     3.000    1.876    0.742    0.790
    NGC6397    8.080    0.190    1.317    0.073   42.838    3.196     7715.207      312.387    7.959    0.226    0.203    0.033   -1.558    0.213   31.286    2.378     7646.472      306.358   -1.988    0.276 1087.112    9.883 1905.056   17.319  994.506    9.124 1010.129    9.353   32.182    3.567  103.700    2.468    3.087    0.131    3.090    0.166    0.389    0.040     7.000    0.001    0.501    0.781
    NGC6426    7.923    0.299    0.566    0.411   61.544   27.257      167.859       18.863   11.169    0.574    0.107    0.039   -0.239    0.245   31.682    3.167      171.970       12.431   -4.009    0.690  273.850    0.985  312.520    1.124  294.638    1.064  322.241    1.168   84.472    8.853  587.896    8.641    9.142    1.665    7.959    0.561    0.975    0.056     1.500    3.110    0.759    0.772
    NGC6496    3.894    1.098    2.417    0.333   91.103   27.220      514.810       22.971    4.772    0.309    0.229    0.140   -3.593    1.749   69.419   11.161      516.514       19.033   -5.048    1.798  617.015    5.099  680.990    5.628  124.903    1.041  127.803    1.074   12.589    4.441   23.988    4.964    5.686    0.252    5.839    0.187    3.031    0.185     1.877    0.184    0.822    0.923
    NGC6539    6.365    0.316    1.093    0.512   25.116   10.180      620.235       26.979    7.949    0.291    0.357    0.077   -0.124    0.331   14.002    1.636      604.023       20.442   -1.705    0.560 1771.665    6.396 1787.866    6.454  829.963    3.007  546.104    1.986   53.703    5.667  457.088    6.383    3.132    0.137    3.160    0.127    0.823    0.052     2.000    0.700    0.829    0.841 
    NGC6541    7.057    0.194    1.735    0.096   49.862    5.786     6294.063      309.429    6.792    0.163    0.140    0.037   -2.448    0.379   36.385    4.835     6229.501      330.400   -2.683    0.513  614.048    7.310  496.631    5.912  222.434    2.680  231.447    2.823   28.184    2.957  102.329    2.129    2.110    0.059    2.039    0.058    0.515    0.044     3.369    0.078    0.660    0.793
    ic1276    3.105    0.802    2.478    0.338   46.593   16.967     3634.990       89.247    5.297    0.792    0.499    0.081   -0.102    1.127   10.903    7.685     3458.870      115.901   -1.167    0.626 1508.387    6.285 1496.242    6.234  332.300    1.390  308.302    1.295   36.308    4.957  141.254    5.372    3.509    0.073    3.462    0.079    2.209    0.309     3.575    5.057    0.782    0.829
    NGC6569    3.789    0.981    2.383    0.413   38.497   16.422      313.051       15.241    4.230    0.406    0.217    0.139   -5.804    1.569   25.613    4.023      311.658       11.923   -5.781    1.547  397.967    4.738  445.234    5.300  354.166    4.267  392.472    4.786   23.988    3.357   79.433    3.478    2.588    0.104    2.603    0.095    1.539    0.125     2.000    0.075    0.815    0.827
    NGC6584    6.658    0.241    1.159    0.274   34.266    6.854     2249.167      100.906    5.811    0.157    0.190    0.138   -5.098    1.461   70.719    6.945     2335.983       92.973   -5.076    1.606  837.577    4.986 1272.120    7.572  909.579    5.447  882.573    5.317   31.623    3.836  199.526    4.571    3.735    0.103    3.550    0.082    1.376    0.079     2.144    0.666    0.760    0.814
    NGC6624    7.839    3.960    0.750    0.549   11.254    9.011     1075.370       64.137    9.420    0.114    0.258    0.067   -0.452    0.211    7.928    0.328     1019.341        8.469   -2.109    0.417  852.260    2.374 1163.422    3.241 4135.316   11.551  985.779    2.761   17.725    1.865  213.374    2.495    1.736    0.172    1.661    0.018    0.211    0.007     2.000    7.973    0.806    0.915
    NGC6626    7.644    0.077    1.183    0.121   27.309    3.636     2022.231       36.400    7.662    0.130    0.222    0.038   -1.287    0.203   19.966    1.828     2018.295       35.766   -2.025    0.266  289.151    1.439  484.874    2.412  300.911    1.505  283.792    1.426   22.818    2.407  115.676    2.202    2.383    0.062    2.399    0.056    0.411    0.013     3.000    0.333    0.692    0.788
    NGC6637    6.013    0.123    0.839    0.341   14.904    3.171     1647.110       34.333    6.560    0.279    0.237    0.055   -0.871    0.245   12.601    0.908     1643.624       30.416   -2.335    0.380  424.201    1.625  480.686    1.842  306.310    1.178  302.132    1.167   22.909    2.979   89.125    3.142    2.433    0.053    2.454    0.048    0.839    0.033     2.000    5.284    0.750    0.891
    NGC6652    7.919    0.061    0.453    0.161   10.782    1.271     1554.183       26.981    9.140    0.130    0.369    0.027   -0.163    0.103    8.222    0.422     1540.542       19.911   -1.498    0.122  760.932    2.984 1881.642    7.379  467.997    1.843  301.908    1.193   18.621    1.949  218.776    2.544    1.789    0.043    1.783    0.031    0.219    0.006     1.937    2.584    0.758    0.866
    NGC6656    6.574    0.050    1.196    0.054   40.066    1.395    13826.492      116.644    6.380    0.070    0.254    0.009   -1.310    0.061   32.628    0.829    13749.294      114.523   -2.001    0.053  353.827    3.077 1054.932    9.173  126.124    1.106  114.986    1.018   32.359    4.208  112.202    4.267    4.314    0.037    4.283    0.039    1.350    0.022    10.000    0.002    0.500    0.795
    PAL8    5.042    0.529    1.391    0.462   32.937    9.460      276.031       19.640    5.872    0.909    0.231    0.083   -0.887    0.515   20.959    3.893      279.146       19.466   -2.365    0.556  228.808    0.919  231.473    0.930  230.725    0.930  233.985    0.947   26.076    4.644   51.370    4.521    4.629    0.313    4.709    0.389    1.990    0.180     2.000    5.958    0.863    0.880
    NGC6681    8.334    0.129    0.875    0.119   21.140    2.358     2412.421       51.915    8.871    0.217    0.302    0.043   -0.721    0.198   14.935    1.520     2402.619       49.785   -1.581    0.226 2049.587    9.807 3774.934   18.062 1940.429    9.329 1506.858    7.280   23.763    2.518  121.955    2.221    2.556    0.086    2.575    0.090    0.238    0.021     2.449    1.748    0.698    0.792
    NGC6715    6.999    0.108    2.059    0.065  331.968  130.630     3095.762       70.639    7.054    0.065    0.119    0.045   -3.982    1.360  227.846   34.065     3062.806       67.630   -3.139    1.327 23983.125   67.558 1428.928    4.025 1016.490    2.871 1020.254    2.890   79.433    8.858  380.189    5.309    4.509    0.150    4.510    0.175    0.937    0.0249   2.000    0.930    0.806    0.814
    NGC6717    8.893    0.346    1.324    0.276   29.902   14.704      528.192       40.299    8.901    0.447    0.376    0.110   -0.783    0.534   11.644    6.033      480.587       40.165   -1.113    0.633  206.990    0.900  213.180    0.927  206.395    0.901  204.243    0.896   19.351    2.287  355.646    3.724    2.471    0.297    2.274    0.307    0.156    0.043     1.500    5.408    0.700    0.808
